,Foreign Exchange Earnings
Region,India
Subnational,
Frequency,Monthly
Unit,INR mn
Source,Ministry of Tourism
Status,Active
Series ID,21448301 (IQFA)
SR Code,SR1991066
Mnemonic,
Function Description,
First Obs. Date,01/2001
Last Obs. Date,03/2020
Last Update Time,17/06/2020
Series remarks,[COVID-19-IMPACT]
Suggestions,
Mean,72444.14285714284
Variance,2938051798.068633
Standard Deviation,54203.79874204974
Skewness,0.7115770121098748
Kurtosis,-0.6082056836126242
Coefficient Variation,0.7482150606562854
Min,8778.8
Max,226170
Median,54960
No. of Obs,231
01/2001,15010.5
02/2001,14049.4
03/2001,12580.1
04/2001,12893.9
05/2001,9572.5
06/2001,11193.6
07/2001,12417
08/2001,10904.2
09/2001,8778.8
10/2001,9580.8
11/2001,11715.1
12/2001,14744.1
01/2002,12286.8
02/2002,12944.2
03/2002,11769
04/2002,11024.5
05/2002,9467.6
06/2002,9057.9
07/2002,12539.8
08/2002,11274.9
09/2002,11075.3
10/2002,11112.6
11/2002,13513
12/2002,15884.4
01/2003,15050.6
02/2003,14418.2
03/2003,11991.2
04/2003,11530
05/2003,10137.9
06/2003,12632.1
07/2003,14885.2
08/2003,13536.6
09/2003,12638.2
10/2003,14210.6
11/2003,15847.4
12/2003,17412
01/2004,20545.9
02/2004,20497
03/2004,18117.1
04/2004,13684.2
05/2004,11335.2
06/2004,13637.6
07/2004,17786
08/2004,15516.9
09/2004,14757.1
10/2004,19063.6
11/2004,23887.1
12/2004,25889.3
01/2005,32720
02/2005,31360
03/2005,29850
04/2005,21560
05/2005,19570
06/2005,21440
07/2005,25560
08/2005,22730
09/2005,21350
10/2005,29210
11/2005,35600
12/2005,40280
01/2006,39700
02/2006,37930
03/2006,33780
04/2006,28500
05/2006,23500
06/2006,25660
07/2006,29900
08/2006,26980
09/2006,26400
10/2006,33550
11/2006,37930
12/2006,46420
01/2007,46980
02/2007,44010
03/2007,41440
04/2007,32180
05/2007,25430
06/2007,28490
07/2007,34360
08/2007,30800
09/2007,25940
10/2007,37850
11/2007,45330
12/2007,50790
01/2008,45990
02/2008,54960
03/2008,43120
04/2008,37400
05/2008,31530
06/2008,35380
07/2008,45530
08/2008,40410
09/2008,36020
10/2008,42340
11/2008,50030
12/2008,50230
01/2009,45300
02/2009,46100
03/2009,41600
04/2009,38730
05/2009,34100
06/2009,39260
07/2009,50420
08/2009,43060
09/2009,38520
10/2009,45430
11/2009,53610
12/2009,60960
01/2010,55930
02/2010,66460
03/2010,55070
04/2010,45180
05/2010,43580
06/2010,47510
07/2010,54440
08/2010,46200
09/2010,46780
10/2010,52190
11/2010,65160
12/2010,70390
01/2011,57770
02/2011,76530
03/2011,55220
04/2011,57240
05/2011,50470
06/2011,54400
07/2011,71160
08/2011,57340
09/2011,57480
10/2011,70190
11/2011,79410
12/2011,88700
01/2012,86230
02/2012,85020
03/2012,78430
04/2012,67450
05/2012,55620
06/2012,64850
07/2012,83890
08/2012,72600
09/2012,66520
10/2012,81540
11/2012,97230
12/2012,105490
01/2013,107850
02/2013,102550
03/2013,95450
04/2013,72260
05/2013,66270
06/2013,71490
07/2013,86200
08/2013,83510
09/2013,78110
10/2013,86450
11/2013,106630
12/2013,119940
01/2014,116640
02/2014,115100
03/2014,104790
04/2014,91790
05/2014,79360
06/2014,83660
07/2014,102840
08/2014,103850
09/2014,90570
10/2014,100410
11/2014,114310
12/2014,129880
01/2015,121000
02/2015,116420
03/2015,111330
04/2015,100910
05/2015,95050
06/2015,95640
07/2015,119820
08/2015,114110
09/2015,104150
10/2015,105490
11/2015,126490
12/2015,141520
01/2016,136710
02/2016,136610
03/2016,129850
04/2016,114950
05/2016,102600
06/2016,106770
07/2016,142850
08/2016,125530
09/2016,116420
10/2016,121000
11/2016,142590
12/2016,165580
01/2017,157990
02/2017,153530
03/2017,146670
04/2017,142600
05/2017,122550
06/2017,129710
07/2017,147960
08/2017,138110
09/2017,138400
10/2017,142130
11/2017,165280
12/2017,193810
01/2018,177550
02/2018,177570
03/2018,172220
04/2018,156200
05/2018,127530
06/2018,143980
07/2018,169760
08/2018,164920
09/2018,151500
10/2018,147010
11/2018,165840
12/2018,194740
01/2019,180790
02/2019,179120
03/2019,162140
04/2019,170610
05/2019,135410
06/2019,159630
07/2019,181910
08/2019,178170
09/2019,167910
10/2019,170430
11/2019,198310
12/2019,226170
01/2020,202820
02/2020,182810
03/2020,58330
